showerId,pdgid,x,y,z,t,px,py,pz,e0,weight
18,13,-227.6626434326172,-255.03709411621094,1.0,462261.5,62.412336872306696,-23.96382220184296,-85.5023518377966,108.53670686997185,1.3427480464306773e-13
18,-13,-353.9684143066406,-9.695806503295898,1.0,461840.5625,61.357976607615456,-23.297432143339847,-84.55210667272104,107.03565004543769,1.3427480464306773e-13
19,13,-194.7654571533203,-233.67434692382812,1.0,1619384.125,221.91589727687824,-172.00230570390704,-54.47167650611209,286.00458418187776,1.4505299668463167e-13
20,-13,172.5218505859375,225.3893585205078,1.0,404008.5,42.769990333854366,-53.14592760889991,-147.5534484235195,162.5600868486501,1.585138563457745e-13
21,-13,-203.49029541015625,-559.939453125,1.0,584669.375,-0.7123560524554193,-96.10839373238196,-75.5628611915854,122.25823812088422,2.038769583139502e-13
22,13,55.6788444519043,-403.1071472167969,1.0,383512.59375,-41.9004793907734,-13.644976887924713,-142.06555081623083,148.742920154768,1.4275921825239436e-13
23,-13,260.7597961425781,83.0388412475586,1.0,379564.53125,25.088936845116905,-7.9170213132792355,-100.6393234530401,104.02118728210523,1.5190813383192792e-13
24,-13,452.37548828125,173.0608367919922,1.0,874014.8125,-102.55384752437385,13.266372431012712,-45.8577072875396,113.12036773808913,1.742797852037307e-13
25,-13,-19.672077178955078,-161.68035888671875,1.0,680912.75,-120.90629600955072,-50.45252164924614,-81.16628145190862,154.1160426439999,1.3819059387117717e-13
26,-13,185.017822265625,-171.47630310058594,1.0,633361.3125,-62.882148364022214,-132.46985919293002,-101.37383862612569,178.2668879384654,1.4323103728971574e-13
27,13,-454.97259521484375,46.6182746887207,1.0,511927.6875,-11.81808686044917,-97.66663322637123,-99.5442058060271,139.95530476680162,1.6380371633881188e-13
28,13,298.36212158203125,294.0795593261719,1.0,466665.875,-54.764927294628706,33.90007940533883,-81.10278877663677,103.56676586927877,1.5734743353352093e-13
29,-13,-383.46807861328125,46.83432388305664,1.0,394094.0,43.90155330120365,8.182462213489714,-112.7152178868937,121.23951259149607,1.5638471352969353e-13
30,13,-220.7909393310547,72.88584899902344,1.0,428916.375,12.008249376276865,52.38652567326426,-87.435993731483,102.63332365762282,1.9377749557632397e-13
31,13,7.939996242523193,-57.705665588378906,1.0,818333.9375,-44.91142584408317,84.43061810054678,-45.798157015117795,106.0331864567426,1.5067349847706624e-13
32,-13,-295.46728515625,-121.05918884277344,1.0,464083.1875,-104.03995854811001,24.80255170624673,-136.3946181503661,173.3290841325185,1.3202798979840677e-13
33,13,-766.7840576171875,-603.2705078125,1.0,960298.75,107.0442184295116,64.323645717629,-49.23857202148247,134.24020661600144,1.5994421265882012e-13
34,13,52.573158264160156,341.0610046386719,1.0,914815.625,-89.6946947088527,-51.44606272332112,-43.02112855440373,111.99398702939686,1.3755811841278145e-13
35,13,388.0528564453125,130.01181030273438,1.0,777839.125,-88.1574791538751,51.081800310899325,-52.49907852277033,114.61782016557689,1.315673059865663e-13
36,-13,-91.28202056884766,121.78826904296875,1.0,573660.4375,4.356099512256321,-82.4051575290332,-66.84042213768953,106.19429185172804,2.092706859067544e-13
37,-13,-136.1124267578125,-261.24542236328125,1.0,697573.0,-90.87539251651151,-46.81918667930631,-61.148684507372764,119.11983387884648,1.3892877647064581e-13
38,-13,-295.93878173828125,242.28172302246094,1.0,619323.1875,48.55959937141415,145.6208686390928,-110.21728623382478,188.97439577642533,1.4483536897245163e-13
39,-13,-35.47703170776367,-134.39614868164062,1.0,597888.1875,-30.804606119870186,-76.3073616349966,-62.706824182692344,103.45957179968214,1.5569485831308154e-13
40,-13,72.26139831542969,-359.3619384765625,1.0,684463.375,131.13381865569318,-4.177206694575034,-80.9134765079798,154.14447162191976,1.9577782351620813e-13
41,-13,602.3839111328125,365.55035400390625,1.0,1204203.5,122.19250304060552,-25.545785040621922,-36.15305759201874,129.96398926595734,2.08798592792428e-13
42,13,224.8913116455078,506.37664794921875,1.0,1241248.625,-82.63270994180311,-86.7696186879457,-33.49010365768345,124.41349815265241,2.6910199522733667e-13
43,13,249.25125122070312,-106.30706787109375,1.0,697076.4375,92.3499385343116,41.46629296566675,-60.726225629025066,118.04930782835153,1.4769925388879284e-13
44,-13,481.2620544433594,177.53497314453125,1.0,464836.53125,-63.515800800452325,-9.884787411668754,-82.05455043982647,104.23490404551947,1.8595208721084504e-13
45,13,525.7572021484375,33.78248596191406,1.0,1106937.375,-101.13438405363468,1.0138441567044367,-33.053956181110834,106.4037383605715,2.6647901483861087e-13
46,-13,-282.3926696777344,492.2980041503906,1.0,1326872.0,-221.704964752882,262.09365905171217,-87.61309072788936,354.29116723125514,1.3065715293533496e-13
47,13,-241.17958068847656,-359.0864562988281,1.0,741972.9375,37.021581140419585,89.402323350404,-53.20539842221933,110.42729423405231,1.3679456488222715e-13
47,-13,-266.8320617675781,-491.2398986816406,1.0,741587.4375,44.171882186471976,106.5789073830656,-63.74690649367767,131.81004044600442,1.3679456488222715e-13
48,-13,259.62530517578125,100.87964630126953,1.0,549594.25,95.87813199495577,42.86545629966531,-91.7013419829982,139.42453033847187,2.1205229386953916e-13
49,-13,149.39096069335938,359.26263427734375,1.0,450657.21875,-57.46729609873182,29.0841295361397,-90.28918859328951,110.90768363196877,1.52997087964459e-13
50,-13,-387.8522644042969,545.8345947265625,1.0,1661691.375,-211.4968182354096,157.21646302530644,-48.76949768210579,268.00444823557376,1.3069678320568117e-13
51,13,-348.2265319824219,91.37362670898438,1.0,382821.59375,30.90856866526792,-3.0563982413127633,-103.07966621964624,107.6573210473805,2.47815546211447e-13
52,13,-34.94548797607422,-253.6288299560547,1.0,416226.1875,15.09395977301358,73.30433936978216,-138.37277606847874,157.31617510277482,2.0076427605436517e-13
53,13,35.18903732299805,223.66192626953125,1.0,370630.5625,36.90022667690073,-14.785924657380747,-274.70661907555404,277.5679680018967,1.722288343268227e-13
54,-13,93.82672119140625,618.4517822265625,1.0,509827.78125,-55.004088644636795,55.60831346883788,-79.73637944814982,111.6943351382465,1.8981500584583227e-13
55,-13,-237.01463317871094,714.2864379882812,1.0,1778106.0,-14.858596834247578,-116.97251791763301,-19.79235404709698,119.56205554689717,1.84960339793168e-13
